train,val,test
/data1/hjq/data/OCT_AMD//train/AMD1_2/030.png,/data1/hjq/data/OCT_AMD//train/DME9_1/030.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/030.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/028.png,/data1/hjq/data/OCT_AMD//train/DME9_1/028.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/028.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/021.png,/data1/hjq/data/OCT_AMD//train/DME9_1/021.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/021.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/012.png,/data1/hjq/data/OCT_AMD//train/DME9_1/012.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/064.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/031.png,/data1/hjq/data/OCT_AMD//train/DME9_1/061.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/012.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/011.png,/data1/hjq/data/OCT_AMD//train/DME9_1/031.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/067.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/039.png,/data1/hjq/data/OCT_AMD//train/DME9_1/011.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/061.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/016.png,/data1/hjq/data/OCT_AMD//train/DME9_1/039.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/096.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/018.png,/data1/hjq/data/OCT_AMD//train/DME9_1/016.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/084.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/019.png,/data1/hjq/data/OCT_AMD//train/DME9_1/060.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/031.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/014.png,/data1/hjq/data/OCT_AMD//train/DME9_1/018.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/062.png
/data1/hjq/data/OCT_AMD//train/AMD1_2/022.png,/data1/hjq/data/OCT_AMD//train/DME9_1/019.png,/data1/hjq/data/OCT_AMD//test/NORMAL12_0/011.png
